% X-coord,  Y-coord,  Polarization,  wavelength,  type, deviceID_params
5145,  5142,  TE,  1550,  device, AlignmentYBranch_comment
5245,  5142,  TE,  1310,  device, Alignment_comment
5345,  5142,  TE,  1310,  device, AlignmentYBranch_comment
5045,  5142,  TE,  1550,  device, Alignment_comment
1261,  3488,  TE,  1550,  device, Mateo_bragg_1000N314nmPeriod500nmW20nmdW0Apo_1
3046,  2863,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N300nmPeriod500nmW20nmdW0Apo_1
368,  3488,  TE,  1550,  device, Mateo_bragg_1000N311nmPeriod500nmW20nmdW0Apo_1
2748,  2928,  TE,  1550,  device, Mateo_bragg_1000N340nmPeriod500nmW20nmdW0Apo_1
2153,  2928,  TE,  1550,  device, Mateo_bragg_1000N338nmPeriod500nmW20nmdW0Apo_1
963,  2928,  TE,  1550,  device, Mateo_bragg_1000N334nmPeriod500nmW20nmdW0Apo_1
1856,  3488,  TE,  1550,  device, Mateo_bragg_1000N316nmPeriod500nmW20nmdW0Apo_1
1558,  2928,  TE,  1550,  device, Mateo_bragg_1000N336nmPeriod500nmW20nmdW0Apo_1
963,  3488,  TE,  1550,  device, Mateo_bragg_1000N313nmPeriod500nmW20nmdW0Apo_1
666,  3488,  TE,  1550,  device, Mateo_bragg_1000N312nmPeriod500nmW20nmdW0Apo_1
666,  2928,  TE,  1550,  device, Mateo_bragg_1000N333nmPeriod500nmW20nmdW0Apo_1
368,  2928,  TE,  1550,  device, Mateo_bragg_1000N332nmPeriod500nmW20nmdW0Apo_1
2748,  3488,  TE,  1550,  device, Mateo_bragg_1000N319nmPeriod500nmW20nmdW0Apo_1
2451,  2928,  TE,  1550,  device, Mateo_bragg_1000N339nmPeriod500nmW20nmdW0Apo_1
2451,  3488,  TE,  1550,  device, Mateo_bragg_1000N318nmPeriod500nmW20nmdW0Apo_1
1856,  2928,  TE,  1550,  device, Mateo_bragg_1000N337nmPeriod500nmW20nmdW0Apo_1
2153,  3488,  TE,  1550,  device, Mateo_bragg_1000N317nmPeriod500nmW20nmdW0Apo_1
1261,  2928,  TE,  1550,  device, Mateo_bragg_1000N335nmPeriod500nmW20nmdW0Apo_1
1558,  3488,  TE,  1550,  device, Mateo_bragg_1000N315nmPeriod500nmW20nmdW0Apo_1
3046,  3488,  TE,  1550,  device, Mateo_bragg_1000N320nmPeriod500nmW20nmdW0Apo_1
1145,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N318nmPeriod500nmW20nmdW0Apo_1
1383,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N319nmPeriod500nmW20nmdW0Apo_1
667,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N316nmPeriod500nmW20nmdW0Apo_1
2338,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N323nmPeriod500nmW20nmdW0Apo_1
2099,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N322nmPeriod500nmW20nmdW0Apo_1
2577,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N324nmPeriod500nmW20nmdW0Apo_1
3054,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N326nmPeriod500nmW20nmdW0Apo_1
906,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N317nmPeriod500nmW20nmdW0Apo_1
428,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N315nmPeriod500nmW20nmdW0Apo_1
1861,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N321nmPeriod500nmW20nmdW0Apo_1
1622,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N320nmPeriod500nmW20nmdW0Apo_1
190,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N314nmPeriod500nmW20nmdW0Apo_1
190,  1900,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N340nmPeriod500nmW20nmdW0Apo_1
2815,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N325nmPeriod500nmW20nmdW0Apo_1
1482,  601,  TE,  1550,  device, Mateo_thinzep_aircladded_ybranch_15001600_PCM24
1031,  258,  TE,  1550,  device, Mateo_thinzep_ybranch15001600_reflected_1
501,  258,  TE,  1550,  device, Mateo_thinzep_aircladded_ybranch_15001600_PCM120
325,  601,  TE,  1550,  device, Mateo_thinzep_aircladded_ybranch_PCM108
1328,  258,  TE,  1550,  device, Mateo_thinzep_ybranch15001600_reflected_2
764,  601,  TE,  1550,  device, Mateo_thinzep_aircladded_ybranch_PCM120
1260,  601,  TE,  1550,  device, Mateo_thinzep_aircladded_ybranch_15001600_PCM12
-1713,  3488,  TE,  1550,  device, Mateo_bragg_1000N304nmPeriod500nmW20nmdW0Apo_1
-1118,  3488,  TE,  1550,  device, Mateo_bragg_1000N306nmPeriod500nmW20nmdW0Apo_1
-1118,  2928,  TE,  1550,  device, Mateo_bragg_1000N327nmPeriod500nmW20nmdW0Apo_1
-523,  2928,  TE,  1550,  device, Mateo_bragg_1000N329nmPeriod500nmW20nmdW0Apo_1
-226,  2928,  TE,  1550,  device, Mateo_bragg_1000N330nmPeriod500nmW20nmdW0Apo_1
71,  2928,  TE,  1550,  device, Mateo_bragg_1000N331nmPeriod500nmW20nmdW0Apo_1
-1713,  2928,  TE,  1550,  device, Mateo_bragg_1000N325nmPeriod500nmW20nmdW0Apo_1
-2011,  3488,  TE,  1550,  device, Mateo_bragg_1000N303nmPeriod500nmW20nmdW0Apo_1
-2308,  3488,  TE,  1550,  device, Mateo_bragg_1000N302nmPeriod500nmW20nmdW0Apo_1
-1416,  3488,  TE,  1550,  device, Mateo_bragg_1000N305nmPeriod500nmW20nmdW0Apo_1
-821,  3488,  TE,  1550,  device, Mateo_bragg_1000N307nmPeriod500nmW20nmdW0Apo_1
-523,  3488,  TE,  1550,  device, Mateo_bragg_1000N308nmPeriod500nmW20nmdW0Apo_1
71,  3488,  TE,  1550,  device, Mateo_bragg_1000N310nmPeriod500nmW20nmdW0Apo_1
-2308,  2928,  TE,  1550,  device, Mateo_bragg_1000N323nmPeriod500nmW20nmdW0Apo_1
-1416,  2928,  TE,  1550,  device, Mateo_bragg_1000N326nmPeriod500nmW20nmdW0Apo_1
-821,  2928,  TE,  1550,  device, Mateo_bragg_1000N328nmPeriod500nmW20nmdW0Apo_1
-2011,  2928,  TE,  1550,  device, Mateo_bragg_1000N324nmPeriod500nmW20nmdW0Apo_1
-226,  3488,  TE,  1550,  device, Mateo_bragg_1000N309nmPeriod500nmW20nmdW0Apo_1
-1964,  4978,  TE,  1310,  GC, pitch_558_duty_76
-1464,  4978,  TE,  1310,  GC, pitch_558_duty_88
-1864,  4978,  TE,  1310,  GC, pitch_558_duty_78
-2364,  5178,  TE,  1310,  GC, pitch_538_duty_80
-1564,  4978,  TE,  1310,  GC, pitch_558_duty_86
-1564,  5178,  TE,  1310,  GC, pitch_570_duty_80
-2064,  4978,  TE,  1310,  GC, pitch_558_duty_74
-2164,  4978,  TE,  1310,  GC, pitch_558_duty_72
-1664,  5178,  TE,  1310,  GC, pitch_566_duty_80
-2264,  4978,  TE,  1310,  GC, pitch_558_duty_70
-1864,  5178,  TE,  1310,  GC, pitch_558_duty_80
-1764,  4978,  TE,  1310,  GC, pitch_558_duty_82
