Acquired on 12/16/2025 at 17:12:12
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.704315
Filter Resolution Bandwidth (pm):  0.000000
Convolved Resolution Bandwidth (pm):  1.704315
Channel Width: 25.000 nm

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)	Group Delay (ps)	Chromatic Dispersion (ps/nm)	Polarization Dependent Loss (dB)	Polarization Mode Dispersion (ps)	Linear Phase Deviation (rad)	Quadratic Phase Deviation (rad)	JM Element a Amplitude	JM Element b Amplitude	JM Element c Amplitude	JM Element d Amplitude	JM Element a Phase (rad)	JM Element b Phase (rad)	JM Element c Phase (rad)	JM Element d Phase (rad)	X Axis - Time (ns)	Time Domain Amplitude (dB)	Time Domain Wavelength (nm)	Max Loss (dB)	Min Loss (dB)	Second Order PMD (ps^2)	Phase Ripple Linear (rad)	Phase Ripple Quadratic (rad)
   1.60511830E+003	1.86772811E+005	-5.50077911E+001	3.92685283E+003	-2.37148146E+005	1.44199247E+001	0.00000000E+000	5.30097324E-001	-6.17408324E-001	4.21252811E-004	4.55024120E-004	4.33426342E-004	2.39600922E-003	-5.37584984E-001	-1.98361545E+000	2.64016965E+000	-2.72356099E+000	0.00000000E+000	-1.40000000E+002	1.60783947E+003	-5.21516823E+001	-6.65716070E+001	0.00000000E+000	1.54899993E+001	1.53527875E+001
   1.60511967E+003	1.86772652E+005	-5.39880004E+001	3.60136272E+003	3.93065300E+005	1.39256341E+001	0.00000000E+000	7.11480099E-001	3.28978216E-001	1.57499358E-003	3.61020149E-004	2.27099310E-003	4.64567957E-004	-6.22215687E-001	-3.12784994E+000	-3.06333888E+000	-2.62249810E+000	1.52867707E-003	-1.40000000E+002	1.60843035E+003	-5.11501141E+001	-6.50757482E+001	0.00000000E+000	1.54862413E+001	1.53533156E+001
   1.60512105E+003	1.86772492E+005	-4.99986445E+001	4.14085286E+003	-1.07100843E+005	1.58661728E+001	7.09052592E+002	3.51500984E-001	5.42751925E-001	3.44413359E-003	2.50767325E-003	7.50980892E-004	1.13656924E-003	-7.57124840E-002	2.75072752E+000	-1.01633681E+000	2.72272288E+000	3.05735414E-003	-1.40000000E+002	1.60854434E+003	-4.70994158E+001	-6.29655886E+001	9.58161945E+005	1.54826290E+001	1.53538312E+001
   1.60512242E+003	1.86772332E+005	-5.37323546E+001	3.99385452E+003	1.08007828E+006	5.70544423E+000	4.76685823E+002	1.39030219E-001	7.12783043E-001	2.30483125E-003	4.55896715E-004	1.07790030E-003	1.33652871E-003	1.41737702E-001	1.86232112E+000	-1.22158834E+000	2.90434873E+000	4.58603121E-003	-1.40000000E+002	1.60756597E+003	-5.17560421E+001	-5.74614863E+001	5.99266141E+005	1.54823563E+001	1.53539350E+001
   1.60512379E+003	1.86772173E+005	-5.78977004E+001	5.47628906E+003	-1.77524608E+006	1.54632306E+001	1.63512169E+003	-1.56101836E+000	-7.96014599E-001	7.10055437E-004	2.23476678E-004	1.45331273E-003	7.60986024E-004	-1.20770385E+000	2.50197846E+000	-1.21435649E+000	-2.54909607E+000	6.11470828E-003	-1.40000000E+002	1.60694501E+003	-5.50091202E+001	-7.04723507E+001	2.37791617E+006	1.54844519E+001	1.53537399E+001
   1.60512516E+003	1.86772013E+005	-5.48161395E+001	3.03971511E+003	4.44731483E+005	9.88778525E+000	8.81116164E+002	-8.16039349E-001	-5.10355836E-002	7.12167259E-004	6.53756598E-004	1.31260548E-003	1.98508026E-003	1.18734853E+000	-1.43323114E+000	2.18092262E+000	1.52879514E+000	7.64338535E-003	-1.40000000E+002	1.60773967E+003	-5.22300884E+001	-6.21178737E+001	1.12200749E+006	1.54868723E+001	1.53535014E+001
   1.60512654E+003	1.86771853E+005	-5.01522128E+001	3.65012231E+003	8.60303210E+004	8.82780622E+000	7.72949050E+002	-6.83585335E-001	-1.09832510E-001	3.05574388E-003	8.64531675E-004	2.12705748E-003	2.16836726E-003	1.26797951E+000	2.09068341E-001	1.46461526E+000	1.59391804E+000	9.17206242E-003	-1.40000000E+002	1.60835448E+003	-4.76764787E+001	-5.65042850E+001	5.55775323E+005	1.54889015E+001	1.53533118E+001
   1.60512791E+003	1.86771694E+005	-5.51636905E+001	3.76820169E+003	-9.85624023E+005	5.25718799E+000	1.84836322E+003	-6.69620374E-001	-4.78369432E-001	1.32430531E-003	1.00775874E-003	1.03257353E-003	1.50167969E-003	2.15060736E+000	2.99409099E+000	2.48271738E+000	1.37827059E+000	1.07007395E-002	-1.40000000E+002	1.60867079E+003	-5.32862865E+001	-5.85434745E+001	1.55435508E+006	1.54897940E+001	1.53532708E+001
   1.60512928E+003	1.86771534E+005	-4.75796486E+001	2.41539874E+003	5.64139572E+005	5.04471351E+000	1.17100987E+003	7.01841062E-001	3.19339179E-001	3.56407192E-003	2.42234517E-003	2.24099075E-003	3.36554062E-003	1.51086222E+000	-2.64106671E+000	1.79399011E+000	1.97671575E+000	1.22294166E-002	-1.40000000E+002	1.60859454E+003	-4.57519586E+001	-5.07966721E+001	9.10588758E+005	1.54907668E+001	1.53532188E+001
   1.60513065E+003	1.86771374E+005	-4.83250646E+001	3.18970108E+003	1.48172730E+006	1.55297326E+001	8.19046778E+002	1.29631373E+000	1.48808086E-001	4.30338155E-003	2.12721566E-003	2.50870550E-003	2.72375439E-004	1.89439961E+000	-1.97992249E+000	1.77473868E+000	-3.08241668E+000	1.37580936E-002	-1.40000000E+002	1.60832751E+003	-4.54346600E+001	-6.09643926E+001	7.11315698E+005	1.54937015E+001	1.53529002E+001
   1.60513203E+003	1.86771214E+005	-5.47308947E+001	5.22342983E+003	-1.73061993E+006	1.03758359E+001	2.95005908E+003	-1.49998335E-001	-2.25375869E+000	2.00106619E-003	8.11926283E-004	7.56015066E-004	1.22220953E-003	1.15057133E-001	-2.86079452E+000	1.07694959E-001	3.12174927E+000	1.52867707E-002	-1.40000000E+002	1.60779956E+003	-5.21016674E+001	-6.24775032E+001	2.42929822E+006	1.54961908E+001	1.53526404E+001
   1.60513340E+003	1.86771055E+005	-5.41698424E+001	2.84808213E+003	1.39313607E+006	3.17990209E+000	2.94128726E+003	7.87278522E-001	-2.46398748E+000	3.02141569E-004	2.20997950E-003	1.58828564E-003	3.98525465E-004	4.80039383E-001	1.41796400E+000	-1.44444270E+000	-2.73998926E+000	1.68154478E-002	-1.40000000E+002	1.60801596E+003	-5.28646537E+001	-5.60445558E+001	2.25840373E+006	1.54983529E+001	1.53524243E+001
